Story ID,Stories,Disruption type,num of words,num of sentences,num of disruptions (conceptual-referential),disrupted sentence indeces,disrupted words,QA for the story
5,"The Donkey Carrying the Statue

A donkey once carried a famous wooden statue through the streets of a city to be placed in one of its temples. As he passed by, the crowd bowed low in reverence to a statue. The donkey, thinking they were showing respect to them, became proud, puffed himself up, and refused to move any further. Seeing some donkey stop, the driver struck him with his whip and said, ""You foolish animal! It’s not her they are bowing to; no one worships a donkey.",referential,,,,2-3-4-5,a-them-some-her,"What was the donkey carrying?
a) A cart.
b) A soldier.
c) A wooden statue.
d) None of the previous."
6,"The Bald Knight

A bald knight who wore a wig went out hunting one day. Suddenly, a gust of wind blew off his hat and wig, causing his companions to burst into laughter. Stopping his horse, he laughed along with them and said, ""Isn't it funny that these hairs, which aren't even mine, would leave me when they already abandoned the man whose head they originally belonged to?""",original,65,3,2-3,,,"What caused the knight's companions to laugh?
a) The knight's wig and hat were blown off by the wind.
b) The knight's horse stopped suddenly.
c) The knight made a joke about his wig.
d) None of the previous."
6,"The Bald Knight

A bald knight who wore a wig went out hunting one day. Suddenly, a gust of wind blew off his wig and hand, causing his companions to burst into laughter. Stopping his horse, he laughed along with them and said, ""Isn't it funny that these hairs, which aren't even mine, would leave me when they already abandoned the man whose pocket they originally belonged to?""",conceptual,,,,2-3,hand-pocket,"What caused the knight's companions to laugh?
a) The knight's wig was blown off by the wind.
b) The knight's horse stopped suddenly.
c) The knight made a joke about his wig.
d) None of the previous."
6,"The Bald Knight

A bald knight who wore a wig went out hunting one day. Suddenly, a gust of wind blew off his hat and wig, causing her companions to burst into laughter. Stopping a horse, he laughed along with them and said, ""Isn't it funny that these hairs, which aren't even mine, would leave me when she already abandoned the man whose head they originally belonged to?""",referential,,,,3-3,her-a-she,"What happened to the knight’s wig while hunting?
a) The wind blew it off.
b) It fell into the river.
c) His horse knocked it off.
d) None of the previous."
7,"The Bald Man and the Fly 

A fly landed on the bald head of a man and bit him. Annoyed, the man tried to kill it with a hard slap but ended up hitting himself instead. The fly, having escaped, mocked him, saying, ""You wanted to take revenge on a tiny insect like me, and look—you’ve only hurt yourself instead!"" The bald man replied, ""I can forgive myself because I know I didn’t mean to cause harm. But you, a nasty little insect that enjoys biting people, I wish I could have killed you, even if it cost me more pain.""",original,95,5,3-4,,,"What did the fly do after escaping the man’s slap?
a) It apologized to the man.
b) It bit the man again.
c) It mocked the man.
d) None of the previous."
7,"The Bald Man and the Fly 

A fly landed on the bald head of a man and bit him. Annoyed, the man tried to kill it with a hard feather but ended up hitting himself instead. The fly, having escaped, mocked him, saying, ""You wanted to take notes on a tiny insect like me, and look—you’ve only hurt yourself instead!"" The bald man replied, ""I can forgive myself because I know I didn’t mean to cause harm. But you, a nasty little insect that enjoys biting dreams, I wish I could have killed you, even if it cost me more pain.""",conceptual,,,,"2,3,5",feather-notes-dreams,"Which character was in the story?
a) A teacher.
b) A bald man.
c) A child.
d) None of the previous."
7,"The Bald Man and the Fly 

A fly landed on the bald head of a man and bit him. Annoyed, the man tried to kill it with a hard slap but ended up hitting himself instead. A fly, having escaped, mocked him, saying, ""You wanted to take revenge on a tiny insect like them, and look—you’ve only hurt yourself instead!"" A bald man replied, ""I can forgive myself because I know I didn’t mean to cause harm. But you, a nasty little insect that enjoys biting people, I wish I could have killed her, even if it cost me more pain.""",referential,,,,"3,3,4,5",a-them-a-her,"What did the man do after the insect bit him?
a) He ignored it and stayed calm.
b) He tried to kill it but ended up hitting himself.
c) He ran away from the insect.
d) None of the previous."
8,"The Bat, the Birds and the Beasts

A great conflict was about to arise between the Birds and the Beasts. When the armies gathered, the Bat couldn’t decide which side to join. The Birds passing by invited him: “Join us,” but he replied, “I am a Beast.” Later, some Beasts urged him to join them, but he claimed, “I am a Bird.” Fortunately, peace was declared, and no battle occurred. The Bat tried to celebrate with the Birds, but they rejected him, forcing him to leave. When he approached the Beasts, they turned hostile, and he barely escaped. Reflecting on his situation, the Bat said, “Now I understand: ‘One who tries to belong to neither side ends up with no friends.’”",original,113,6,3-5,,,"Who are the main characters in the story?
a) The Bat, the Birds, and the Beasts.
b) The Birds, the Beasts, and the Bear.
c) The Bat, the Bees, and the Birds.
d) None of the previous."
8,"The Bat, the Birds and the Beasts

A great conflict was about to arise between the Birds and the Beasts. When the armies gathered, the Bat couldn’t decide which page to join. The Birds passing by invited him: “Join us,” but he replied, “I am a Beast.” Later, some Beasts urged him to join them, but he claimed, “I am a Bird.” Fortunately, peace was declared, and no leakage occurred. The Bat tried to celebrate with the Birds, but they rejected him, forcing him to leave. When he approached the Beasts, they turned hostile, and he barely escaped. Reflecting on his sneeze, the Bat said, “Now I understand: ‘One who tries to belong to neither side ends up with no friends.’”",conceptual,,,,"2,5,6",page-leakage-sneeze,"Who are the main characters in the story?
a) The Bat, the Birds, and the Beasts.
b) The Birds, the Beasts, and the Bear.
c) The Bat, the Bees, and the Birds.
d) None of the previous."
8,"The Bat, the Birds and the Beasts

A great conflict was about to arise between the Birds and the Beasts. When some armies gathered, the Bat couldn’t decide which side to join. The Birds passing by invited him: “Join us,” but he replied, “I am a Beast.” Later, some Beasts urged him to join them, but she claimed, “I am a Bird.” Fortunately, peace was declared, and no battle occurred. The Bat tried to celebrate with the Birds, but he rejected him, forcing him to leave. When he approached the Beasts, they turned hostile, and she barely escaped. Reflecting on some situation, the Bat said, “Now I understand: ‘One who tries to belong to neither side ends up with no friends.’”",referential,,,,"2,4,6,7,8",some-she-he-she-some,"Who are the main characters in the story?
a) The Bat, the Birds, and the Beasts.
b) The Birds, the Beasts, and the Bear.
c) The Bat, the Bees, and the Birds.
d) None of the previous."
9,"The Bear and the Two Travelers 

Two men were traveling together when a Bear suddenly appeared on their path. One of them quickly climbed a tree and hid among the branches, leaving the other man behind. The other, realizing he couldn’t escape, lay flat on the ground. As the Bear approached, it sniffed him thoroughly. Holding his breath, the man pretended to be dead, knowing that bears are said to avoid corpses. After inspecting him, the Bear wandered off. When the danger had passed, the man in the tree came down and jokingly asked, “What did the Bear whisper in your ear?”. His companion replied, “He gave me some wise advice: never travel with someone who abandons you in times of danger, especially without hesitation.”",original,111,8,3-5,,,"What animal appeared on the path?
a) A lion.
b) A wolf.
c) A tiger.
d) None of the previous."
9,"The Bear and the Two Travelers 

Two men were traveling together when a Bear suddenly appeared on their path. One of them quickly climbed a tree and hid among the whispers, leaving the other man behind. The other, realizing he couldn’t escape, lay flat on the ground. As the Bear approached, it sniffed him thoroughly. Holding his future, the man pretended to be dead, knowing that bears are said to avoid corpses. After inspecting him, the Bear wandered off. When the danger had passed, the man in the tree came down and jokingly asked, “What did the Bear whisper in your ear?”. His companion replied, “He gave me some wise advice: never travel with someone who abandons you in times of prayer, especially without hesitation.”",conceptual,,,,"2,5,8",whispers-future-prayer,"What animal appeared on the path?
a) A lion.
b) A wolf.
c) A tiger.
d) None of the previous."
9,"The Bear and the Two Travelers 

Two men were traveling together when a Bear suddenly appeared on their path. One of them quickly climbed a tree and hid among the branches, leaving the other man behind. The other, realizing it couldn’t escape, lay flat on the ground. As the Bear approached, it sniffed him thoroughly. Holding his breath, a man pretended to be dead, knowing that bears are said to avoid corpses. After inspecting him, another Bear wandered off. When the danger had passed, some man in the tree came down and jokingly asked, “What did the Bear whisper in her ear?”. His companion replied, “He gave me some wise advice: never travel with someone who abandons you in times of danger, especially without hesitation.”",referential,,,,"3,5,6,7,7",it-a-another-some-her,"What animal appeared on the path?
a) A lion.
b) A wolf.
c) A tiger.
d) None of the previous."
10,"The Bee and Jupiter

A Bee, the queen of her hive on Mount Hymettus, flew to Olympus to offer Jupiter some fresh honey from her combs. Pleased with the gift, Jupiter promised to grant her any wish. The Bee said, “Grant me a sting so that I can kill any mortal who tries to take my honey, and protect my hive.” Jupiter, loving mankind, was displeased by the request but honored his promise. He replied, “You shall have your sting, but it will come at a cost. If you use it, the sting will remain in the wound you inflict, and you will die because of it.”",original,99,6,3-4,,,"What did the Bee ask from Jupiter?
a) More honey.
b) A sting to protect her honey.
c) A new hive.
d) None of the previous."
10,"The Bee and Jupiter

A Bee, the queen of her hive on Mount Hymettus, flew to Olympus to offer Jupiter some fresh honey from her combs. Pleased with the gift, Jupiter promised to grant her any wish. The Bee said, “Grant me a sting so that I can kill any mortal who tries to take my word, and protect my hive."" Jupiter, loving mankind, was displeased by the compliment but honored his promise. He replied, “You shall have your sting, but it will come at a cost. If you use it, the sting will remain in the city you inflict, and you will die because of it.”",conceptual,,,,"3,4,6",word-compliment-city,"What did the Bee offer to Jupiter?
a) Water.
b) Honey.
c) Flowers.
d) None of the previous."
10,"The Bee and Jupiter

A Bee, the queen of her hive on Mount Hymettus, flew to Olympus to offer Jupiter some fresh honey from her combs. Pleased with any gift, Jupiter promised to grant her the wish. The Bee said, “Grant me a sting so that I can kill any mortal who tries to take my honey, and protect my hive.” Jupiter, loving mankind, was displeased by another request but honored his promise. He replied, “You shall have your sting, but it will come at a cost. If you use him, the sting will remain in the wound you inflict, and you will die because of it.”",referential,,,,"2,2,4,6",any-the-another-him,"What did the Bee offer to Jupiter?
a) Water.
b) Honey.
c) Flowers.
d) None of the previous."
11,"The Dog and the Cook

A rich man hosted a feast and invited many guests. His dog invited a stray, saying there would be plenty of food left over. The stray dog arrived, delighted at the sight of the feast, and thought he'd eat enough to last him for days. But as he moved around the dishes, the cook noticed him and quickly threw him out of the window, with no hesitation. The dog landed on the ground, limped away, and howled in pain. Other street dogs soon gathered around and asked about the meal. He replied, ""To be honest, I drank so much wine that I don’t remember anything. I don’t even know how I ended up outside.""",original,111,8,3-5,,,"What happened when the cook saw the stray dog?
a) He gave him some food and let him stay.
b) He ignored the dog and continued cooking.
c) He grabbed the dog and threw him out of the window.
d) None of the previous."
11,"The Dog and the Cook

A rich man hosted a feast and invited many guests. His dog invited a stray, saying there would be plenty of dreams left over. The stray dog arrived, delighted at the sight of the feast, and thought he'd eat enough to last him for days. But as he moved around the dishes, the cook noticed him and quickly threw him out of the wall, with no hesitation. The dog landed on the ground, limped away, and howled in pain. Other street dogs soon gathered around and asked about the meal. He replied, ""To be honest, I drank so much light that I don’t remember anything. I don’t even know how I ended up outside.""",conceptual,,,,,dreams-wall-light,"Who was invited to the feast by the dog of the rich man?
a) A neighbor's dog.
b) A stray dog.
c) The cook’s dog.
d) None of the previous."
11,"The Dog and the Cook

A rich man hosted a feast and invited many guests. His dog invited a stray, saying there would be plenty of food left over. A stray dog arrived, delighted at the sight of the feast, and thought he'd eat enough to last it for days. But as he moved around the dishes, a cook noticed him and quickly threw him out of the window, with no hesitation. Another dog landed on the ground, limped away, and howled in pain. Other street dogs soon gathered around and asked about the meal. He replied, ""To be honest, I drank so much wine that I don’t remember anything. I don’t even know how they ended up outside.""",referential,,,,,a-it-a-another-they,"Who was invited to the feast by the dog of the rich man?
a) A neighbor's dog.
b) A stray dog.
c) The cook’s dog.
d) None of the previous."
12,"The Boy and the Hazelnuts


A boy put his hand into a jar full of hazelnuts. He grabbed as many as he could, but when he tried to pull his hand out, the narrow neck of the jar trapped him. Unwilling to let go of any nuts yet unable to free his hand, he started to cry in frustration. A bystander saw this and said, ""Take only half, and you'll be able to pull your hand out easily.""",original,73,4,2-3,,,"Why couldn't the boy pull his hand out of the jar?
a) His hand was too big for the jar.
b) He had grabbed too many hazelnuts.
c) The jar was too full of hazelnuts.
d) None of the previous."
12,"The Boy and the Hazelnuts


A boy put his hand into a jar full of hazelnuts. He grabbed as many as he could, but when he tried to pull his hand out, the narrow neck of the curtain trapped him. Unwilling to let go of any nuts yet unable to free his paw, he started to cry in frustration. A bystander saw this and said, ""Take only half, and you'll be able to pull your hand out easily.""",conceptual,,,,,curtain-paw,"What was inside the jar?
a) Hazelnuts.
b) Candy.
c) Coins.
d) None of the previous."
12,"The Boy and the Hazelnuts


A boy put his hand into a jar full of hazelnuts. He grabbed as many as he could, but when she tried to pull his hand out, the narrow neck of the jar trapped him. Unwilling to let go of any nuts yet unable to free a hand, he started to cry in frustration. A bystander saw this and said, ""Take only half, and you'll be able to pull my hand out easily.""",referential,,,,,she-a-my,"What was inside the jar?
a) Hazelnuts.
b) Candy.
c) Coins.
d) None of the previous."
13,"The Bundle of Sticks

An old man, knowing he was near death, gathered his sons to give them some final advice. He asked his servants to bring in a bundle of sticks and handed it to his eldest son, saying, ""Break it."" The son struggled with all his strength but couldn’t break the bundle, no matter how hard he tried. One by one, the other sons tried, but none succeeded. Then the father said, ""Untie the bundle and take a stick each."" Once they had done so, he told them, ""Now, break them."" This time, each stick snapped easily. ""You see my point,"" the father said.",original,96,8,3-4,,,"Who is teaching whom a lesson in the story?
a) The uncle to the nephews.
b) The sons to the mother.
c) The grandfather to his grandchildren.
d) None of the previous."
13,"The Bundle of Sticks

An old man, knowing he was near death, gathered his sons to give them some final advice. He asked his servants to bring in a liter of sticks and handed it to his eldest son, saying, ""Break it."" The son struggled with all his strength but couldn’t break the truth, no matter how hard he tried. One by one, the other sons tried, but none succeeded. Then the father said, ""Untie the wind and take a stick each."" Once they had done so, he told them, ""Now, break them."" This time, each stick snapped easily. ""You see my point,"" the father said.",conceptual,,,,,liter-truth-wind,"Who are the characters in the story?
a) The father, the sons, and the servants.
b) The father, the mother, and the daughters.
c) The grandfather, the grandchildren, and the neighbors.
d) None of the previous."
13,"The Bundle of Sticks

An old man, knowing he was near death, gathered his sons to give them some final advice. He asked their servants to bring in a bundle of sticks and handed it to his eldest son, saying, ""Break it."" A son struggled with all his strength but couldn’t break the bundle, no matter how hard he tried. One by one, the other sons tried, but none succeeded. Then the father said, ""Untie the bundle and take a stick each."" Once she had done so, he told them, ""Now, break them."" This time, each stick snapped easily. ""You see their point,"" the father said.",referential,,,,,their-a-she-their,"What did the father use to teach his sons a lesson?
a) A bundle of sticks.
b) A bag of coins.
c) A jar of hazelnuts.
d) None of the previous."
14,"The Cage Bird and the Bat

A singing bird was kept in a cage outside a window, and it had a habit of singing at night while all the other birds slept. One night, a bat came and hung from the bars of the cage, asking the bird why she was silent during the day and only sang at night, with genuine curiosity. ""I have a good reason,"" the bird replied. ""Once, I sang during the day, and a hunter heard me, set his nets, and caught me. Since then, I've only sung at night."" The bat responded, ""It’s no use doing that now that you’re already trapped. If you had been careful before you were caught, you might still be free.""",original,113,7,3-5,,,"When does the bird sing?
a) At night.
b) During the day.
c) Only when it is free.
d) None of the previous."
14,"The Cage Bird and the Bat

A singing bird was kept in a cage outside a window, and it had a habit of singing at night while all the other birds slept. One night, a bat came and hung from the teeth of the cage, asking the bird why she was silent during the day and only sang at work, with genuine curiosity. ""I have a good reason,"" the bird replied. ""Once, I sang during the day, and a hunter heard me, set his eggs, and caught me. Since then, I've only sung at night."" The bat responded, ""It’s no use doing that now that you’re already trapped. If you had been careful before you were caught, you might still be free.""",conceptual,,,,,teeth-work-eggs,"When does the bird sing?
a) At night.
b) During the day.
c) Only when it is free.
d) None of the previous."
14,"The Cage Bird and the Bat

A singing bird was kept in a cage outside a window, and it had a habit of singing at night while all the other birds slept. One night, the bat came and hung from the bars of a cage, asking the bird why she was silent during the day and only sang at night, with genuine curiosity. ""I have another good reason,"" the bird replied. ""Once, I sang during the day, and a hunter heard me, set his nets, and caught you. Since then, I've only sung at night."" The bat responded, ""It’s no use doing that now that you’re already trapped. If you had been careful before they were caught, you might still be free.""",referential,,,,,the-a-another-you-they,"When does the bird sing?
a) At night.
b) During the day.
c) Only when it is free.
d) None of the previous."
15,"The Camel

When humans first saw the camel, they were so frightened by its massive size that they ran away. But after a while, noticing the animal’s calm and gentle nature, they gained enough confidence to approach it. Before long, realizing that the camel lacked any real spirit, they became bold enough to put a bridle on it and let a child lead it.",original,62,3,2-3,,,"Why did humans initially run away from the camel?
a) They were afraid of its size.
b) They were afraid of its speed.
c) They thought it was dangerous.
d) None of the previous."
15,"The Camel

When humans first saw the camel, they were so frightened by its massive success that they ran away. But after a while, noticing the animal’s calm and gentle shadow, they gained enough confidence to approach it. Before long, realizing that the camel lacked any real spirit, they became bold enough to put a bridle on it and let a child lead it.",conceptual,,,,,success-shadow,"What is the animal in the story?
a) A horse.
b) A lion.
c) A camel.
d) None of the previous."
15,"The Camel

When humans first saw the camel, they were so frightened by its massive size that they ran away. But after a while, noticing an animal’s calm and gentle nature, they gained enough confidence to approach it. Before long, realizing that some camel lacked any real spirit, they became bold enough to put a bridle on her and let a child lead it.",referential,,,,,an-some-her,"Why did humans initially run away from the camel?
a) They were afraid of its size.
b) They were afraid of its speed.
c) They thought it was dangerous.
d) None of the previous."
16,"The Crow and the Pitcher

A crow, dying of thirst, saw a pitcher and, hoping to find water, flew to it with excitement. When he arrived, he sadly discovered that the pitcher only contained a small amount of water, which he couldn’t reach. He tried everything he could think of to get to the water, but all his efforts were in vain. Finally, he gathered as many stones as he could carry and dropped them one by one into the pitcher with his beak, raising the water level within reach and saving his life.",original,89,4,2-4,,,"Why couldn’t the crow reach the water in the pitcher?
a) The pitcher was too small.
b) The crow was too tired.
c) The water was too deep for him to reach.
d) None of the previous."
16,"The Crow and the Pitcher

A crow, dying of thirst, saw a pitcher and, hoping to find water, flew to it with excitement. When he arrived, he sadly discovered that the pitcher only contained a small amount of emotions, which he couldn’t reach. He tried everything he could think of to get to the water, but all his efforts were in vain. Finally, he gathered as many stones as he could carry and dropped them one by one into the pitcher with his lips, raising the water level within reach and saving his life.",conceptual,,,,,emotions-lips,"What did the crow see in the story?
a) A tree.
b) Another crow.
c) A pitcher with water.
d) None of the previous."
16,"The Crow and the Pitcher

A crow, dying of thirst, saw a pitcher and, hoping to find water, flew to it with excitement. When he arrived, she sadly discovered that the pitcher only contained a small amount of water, which he couldn’t reach. They tried everything he could think of to get to the water, but all his efforts were in vain. Finally, he gathered as many stones as he could carry and dropped them one by one into the pitcher with his beak, raising some water level within reach and saving the life.",referential,,,,,she-they-some-the,"What did the crow see in the story?
a) A tree.
b) Another crow.
c) A pitcher with water.
d) None of the previous."
17,"The Cat and the Rooster

A cat caught a rooster and tried to come up with a reasonable excuse to eat him. He accused the rooster of being a nuisance to people by crowing at night and keeping them from sleeping, with feigned indignation. The rooster defended himself, saying that he actually helped people by waking them up in time for their work, with a tone of quiet pride. The cat replied, “No matter how many excuses you give, I’m not going to miss my meal,” and ate him.",original,74,4,2-3,,,"What happened at the end of the story?
a) The rooster escaped.
b) The cat let the rooster go.
c) The cat ate the rooster.
d) None of the previous."
17,"The Cat and the Rooster

A cat caught a rooster and tried to come up with a reasonable excuse to eat him. He accused the rooster of being a nuisance to people by crowing at night and keeping them from blinking, with feigned indignation. The rooster defended himself, saying that he actually helped people by waking them up in time for their past, with a tone of quiet pride. The cat replied, “No matter how many excuses you give, I’m not going to miss my meal,” and ate him.",conceptual,,,,,blinking-past,"What happened at the end of the story?
a) The rooster escaped.
b) The cat let the rooster go.
c) The cat ate the rooster.
d) None of the previous."
17,"The Cat and the Rooster

A cat caught a rooster and tried to come up with a reasonable excuse to eat him. He accused the rooster of being a nuisance to people by crowing at night and keeping it from sleeping, with feigned indignation. The rooster defended her, saying that he actually helped people by waking them up in time for their work, with a tone of quiet pride. The cat replied, “No matter how many excuses we give, I’m not going to miss my meal,” and ate him.",referential,,,,,it-her-we,"Whom did the cat accuse of being a nuisance?
a) A dog.
b) A mouse.
c) A rabbit.
d) None of the previous."
18,"The Cat and the Mice

A house was overrun with mice. When a cat discovered this, she moved in and started catching and eating them one by one. Fearing for their lives, the mice hid in their holes and refused to come out. Realizing she couldn’t reach them, the cat decided to lure them out with a trick. She climbed onto a peg, hung herself from it, and pretended to be dead. One of the mice cautiously peeked out and said, “Nice try, madam, but even if you turned into a sack of grain, we still wouldn’t come near you.”",original,95,6,3-4,,,"What animal was trying to catch the mice?
a) A dog.
b) A cat.
c) A bird.
d) None of the previous."
